date,borough,events_count,borough_normalized_events,day_normalized_events,total_events_by_borough,total_events_by_day
2015-02-04,Q,2,0.00018700327255726976,0.18181818181818182,10695,11
2014-04-01,Q,2,0.00018700327255726976,0.1,10695,20
2019-03-31,B,2,0.00017362618282837052,0.4,11519,5
2018-02-04,B,2,0.00017362618282837052,0.09090909090909091,11519,22
2014-03-31,X,2,0.0001303780964797914,0.13333333333333333,15340,15
2013-03-31,X,2,0.0001303780964797914,0.14285714285714285,15340,14
2014-02-05,Q,2,0.00018700327255726976,0.14285714285714285,10695,14
2016-03-30,R,2,0.00022696323195642307,0.2,8812,10
2014-02-05,R,2,0.00022696323195642307,0.14285714285714285,8812,14
2016-03-30,M,2,6.948787436592315e-05,0.2,28782,10
2016-03-30,B,2,0.00017362618282837052,0.2,11519,10
2015-02-05,B,2,0.00017362618282837052,0.16666666666666666,11519,12
2015-03-30,R,2,0.00022696323195642307,0.18181818181818182,8812,11
2015-02-05,Q,2,0.00018700327255726976,0.16666666666666666,10695,12
2016-02-05,B,2,0.00017362618282837052,0.18181818181818182,11519,11
2014-03-30,R,2,0.00022696323195642307,0.1111111111111111,8812,18
2017-04-03,R,2,0.00022696323195642307,0.5,8812,4
2013-04-04,B,2,0.00017362618282837052,0.08333333333333333,11519,24
2015-02-01,B,2,0.00017362618282837052,0.13333333333333333,11519,15
2017-04-07,B,2,0.00017362618282837052,0.10526315789473684,11519,19
2016-04-06,Q,2,0.00018700327255726976,0.15384615384615385,10695,13
2016-04-06,X,2,0.0001303780964797914,0.15384615384615385,15340,13
2019-02-01,M,2,6.948787436592315e-05,0.5,28782,4
2018-04-06,R,2,0.00022696323195642307,0.06666666666666667,8812,30
2014-04-07,B,2,0.00017362618282837052,0.09523809523809523,11519,21
2014-04-07,X,2,0.0001303780964797914,0.09523809523809523,15340,21
2019-04-07,B,2,0.00017362618282837052,0.4,11519,5
2016-02-02,X,2,0.0001303780964797914,0.14285714285714285,15340,14
2017-02-01,M,2,6.948787436592315e-05,0.16666666666666666,28782,12
2016-02-01,R,2,0.00022696323195642307,0.4,8812,5
2014-04-08,Q,2,0.00018700327255726976,0.1111111111111111,10695,18
2015-04-08,Q,2,0.00018700327255726976,0.1,10695,20
2016-02-01,M,2,6.948787436592315e-05,0.4,28782,5
2015-04-08,R,2,0.00022696323195642307,0.1,8812,20
2016-04-06,B,2,0.00017362618282837052,0.15384615384615385,11519,13
2015-04-06,X,2,0.0001303780964797914,0.09523809523809523,15340,21
2015-04-06,R,2,0.00022696323195642307,0.09523809523809523,8812,21
2013-02-02,Q,2,0.00018700327255726976,0.10526315789473684,10695,19
2015-04-06,Q,2,0.00018700327255726976,0.09523809523809523,10695,21
2014-04-06,Q,2,0.00018700327255726976,0.09090909090909091,10695,22
2013-02-02,R,2,0.00022696323195642307,0.10526315789473684,8812,19
2018-04-05,R,2,0.00022696323195642307,0.06060606060606061,8812,33
2017-04-05,M,2,6.948787436592315e-05,0.10526315789473684,28782,19
2014-02-02,B,2,0.00017362618282837052,0.15384615384615385,11519,13
2016-04-05,B,2,0.00017362618282837052,0.10526315789473684,11519,19
2015-02-02,Q,2,0.00018700327255726976,0.2222222222222222,10695,9
2018-04-04,R,2,0.00022696323195642307,0.06060606060606061,8812,33
2017-04-04,B,2,0.00017362618282837052,0.08,11519,25
2016-04-04,B,2,0.00017362618282837052,0.25,11519,8
2015-04-04,R,2,0.00022696323195642307,0.05263157894736842,8812,38
2013-04-04,X,2,0.0001303780964797914,0.08333333333333333,15340,24
2013-04-25,X,2,0.0001303780964797914,0.07142857142857142,15340,28
2016-04-25,Q,2,0.00018700327255726976,0.07407407407407407,10695,27
2017-04-25,B,2,0.00017362618282837052,0.09090909090909091,11519,22
2013-01-21,X,2,0.0001303780964797914,0.18181818181818182,15340,11
2014-01-21,X,2,0.0001303780964797914,0.2857142857142857,15340,7
